,<<<<<<< HEAD,40732966	Tamara Dahlen	Ontario	Ontario	Corporate
0,=======,
1,40732966	Tamara Dahlen	Ontario	Ontario	Corporate,
2,68464052	Bill Donatelli	Ontario	Ontario	Corporate,
3,63834266	Christy Brittain	British Columbia	West	Consumer,
4,38512011	Barry Blumstein	British Columbia	West	Small Business,
5,82335880	Aleksandra Gannaway	New Brunswick	Atlantic	Corporate,
6,58046234	Paul Prost	Ontario	Ontario	Corporate,
7,9130094	Russell Applegate	Ontario	Ontario	Home Office,
8,60559394	Pauline Webber	Alberta	West	Consumer,
9,21939120	Greg Guthrie	Prince Edward Island	Atlantic	Small Business,
10,75726086	Sheri Gordon	Quebec	Quebec	Corporate,
11,94530777	Erin Smith	Ontario	Ontario	Home Office,
12,21258025	Andy Yotov	Ontario	Ontario	Corporate,
13,45311141	Carl Weiss	Alberta	West	Consumer,
14,78224739	Noel Staavos	Quebec	Quebec	Home Office,
15,30578487	Aaron Hawkins	British Columbia	West	Home Office,
16,85111166	Annie Thurman	Alberta	West	Consumer,
17,79674261	Ted Trevino	Ontario	Ontario	Corporate,
18,74639533	Tamara Chand	Ontario	Ontario	Consumer,
19,28257713	Tom Prescott	British Columbia	West	Small Business,
20,14649835	Fred Chung	Quebec	Quebec	Corporate,
21,99328710	Eileen Kiefer	Ontario	Ontario	Consumer,
22,23051437	Hilary Holden	Prince Edward Island	Atlantic	Corporate,
23,104239922	Lynn Smith	New Brunswick	Atlantic	Corporate,
24,44905147	Dan Reichenbach	Prince Edward Island	Atlantic	Corporate,
25,17033987	Sonia Sunley	British Columbia	West	Corporate,
26,8480164	Julie Kriz	Manitoba	Prarie	Corporate,
27,84795584	Carlos Soltero	Northwest Territories	Northwest Territories	Small Business,
28,63582475	Xylona Price	Ontario	Ontario	Corporate,
29,2717381	Cindy Schnelling	Northwest Territories	Northwest Territories	Corporate,
30,69563791	Matthew Grinstein	Alberta	West	Small Business,
31,87034117	Marina Lichtenstein	British Columbia	West	Corporate,
32,25507147	Art Ferguson	Nova Scotia	Atlantic	Corporate,
33,47450738	Victoria Wilson	Ontario	Ontario	Home Office,
34,16666221	Deanra Eno	Yukon	Yukon	Corporate,
35,96327900	Jocasta Rupert	New Brunswick	Atlantic	Consumer,
36,38344188	Kristina Nunn	British Columbia	West	Consumer,
37,59981908	Meg O'Connel	Ontario	Ontario	Corporate,
38,89759693	Barry Weirich	Nunavut	Nunavut	Corporate,
39,56764115	Jim Epp	New Brunswick	Atlantic	Small Business,
40,44817590	Odella Nelson	Ontario	Ontario	Small Business,
41,48076280	Trudy Brown	Saskachewan	Prarie	Small Business,
42,80727603	Amy Hunt	Saskachewan	Prarie	Home Office,
43,20148851	Thea Hendricks	Yukon	Yukon	Home Office,
44,59062935	Naresj Patel	Ontario	Ontario	Corporate,
45,40615970	Vivek Grady	Ontario	Ontario	Home Office,
46,101078507	Neil French	Saskachewan	Prarie	Corporate,
47,39049481	Juliana Krohn	British Columbia	West	Corporate,
48,38038963	Greg Matthias	British Columbia	West	Home Office,
49,60181220	Phillip Flathmann	Manitoba	Prarie	Small Business,
50,96145776	John Huston	Saskachewan	Prarie	Consumer,
51,92369283	Trudy Bell	Alberta	West	Consumer,
52,39306812	Joel Jenkins	Manitoba	Prarie	Corporate,
53,10374472	Nora Paige	Yukon	Yukon	Small Business,
54,51874025	Eleni McCrary	Nova Scotia	Atlantic	Corporate,
55,91811409	Ritsa Hightower	Ontario	Ontario	Corporate,
56,90514203	Edward Nazzal	Ontario	Ontario	Home Office,
57,97428330	Harold Engle	Prince Edward Island	Atlantic	Home Office,
58,55283064	Sarah Foster	Ontario	Ontario	Corporate,
59,33980383	Joni Sundaresam	Ontario	Ontario	Home Office,
60,24088027	Shahid Hopkins	British Columbia	West	Small Business,
61,20071951	Candace McMahon	Ontario	Ontario	Corporate,
62,50179492	Brad Norvell	Manitoba	Prarie	Corporate,
63,61616872	Fred McMath	Nova Scotia	Atlantic	Small Business,
64,21703579	Henia Zydlo	Manitoba	Prarie	Home Office,
65,28130934	Maxwell Schwartz	Saskachewan	Prarie	Corporate,
66,66378277	Edward Becker	Ontario	Ontario	Home Office,
67,16627071	Harold Dahlen	British Columbia	West	Corporate,
68,102252318	Kean Nguyen	Ontario	Ontario	Corporate,
69,30354681	Alan Barnes	Northwest Territories	Northwest Territories	Corporate,
70,21462074	Victoria Pisteka	Alberta	West	Corporate,
71,41989638	Victoria Pisteka	British Columbia	West	Corporate,
72,26995184	Erica Bern	Prince Edward Island	Atlantic	Corporate,
73,31594679	Allen Rosenblatt	Nunavut	Nunavut	Small Business,
74,3704525	Ellis Ballard	Quebec	Quebec	Corporate,
75,20705818	Anemone Ratner	New Brunswick	Atlantic	Small Business,
76,81843446	John Murray	Alberta	West	Small Business,
77,43018738	Beth Fritzler	Saskachewan	Prarie	Small Business,
78,108626146	Pamela Stobb	Quebec	Quebec	Consumer,
79,98185921	Greg Hansen	Saskachewan	Prarie	Home Office,
80,17767864	Mathew Reese	Quebec	Quebec	Small Business,
81,21909421	Ed Braxton	Manitoba	Prarie	Home Office,
82,26421512	Valerie Takahito	Saskachewan	Prarie	Consumer,
83,73966703	Linda Southworth	Manitoba	Prarie	Consumer,
84,79755549	Toby Swindell	Saskachewan	Prarie	Small Business,
85,>>>>>>> 5af713939616ea9a66b12677e89eb0421485e80b,
86,9043071	Rick Wilson	Alberta	West	Corporate,
87,60345992	Barry French	Nunavut	Nunavut	Consumer,
88,73316576	Lindsay Shagiari	Ontario	Ontario	Home Office,
89,95284420	Cathy Armstrong	British Columbia	West	Consumer,
90,72906222	Tracy Hopkins	British Columbia	West	Small Business,
91,74518551	Helen Andreada	Manitoba	Prarie	Corporate,
92,104516246	Olvera Toch	Ontario	Ontario	Home Office,
93,104598944	Paul MacIntyre	Nova Scotia	Atlantic	Corporate,
94,101777049	Darrin Van Huff	Saskachewan	Prarie	Home Office,
95,12392564	Troy Blackwell	Ontario	Ontario	Home Office,
96,103724988	Brenda Bowman	Quebec	Quebec	Small Business,
97,100099945	Ed Ludwig	Ontario	Ontario	Consumer,
98,4221093	Patrick Ryan	Saskachewan	Prarie	Corporate,
99,72489079	Denise Monton	Saskachewan	Prarie	Home Office,
100,101656918	Craig Carroll	Alberta	West	Corporate,
101,14548487	Guy Armstrong	Prince Edward Island	Atlantic	Corporate,
102,27242353	Carl Weiss	Saskachewan	Prarie	Consumer,
103,31379257	Joseph Airdo	Manitoba	Prarie	Consumer,
104,90097133	Randy Bradley	Saskachewan	Prarie	Small Business,
105,8230900	Thais Sissman	Manitoba	Prarie	Small Business,
106,36349541	Dorothy Wardle	Nunavut	Nunavut	Corporate,
107,93429106	Julia West	Northwest Territories	Northwest Territories	Small Business,
108,19890992	Stephanie Phelps	Alberta	West	Consumer,
109,18293658	Karen Carlisle	British Columbia	West	Home Office,
110,60636010	Roy Phan	Alberta	West	Corporate,
111,56352213	Pauline Chand	Ontario	Ontario	Corporate,
112,71604925	Brad Eason	Ontario	Ontario	Small Business,
113,13884388	Thomas Boland	Ontario	Ontario	Corporate,
114,85518221	Liz Pelletier	Saskachewan	Prarie	Home Office,
115,77579377	Berenike Kampe	Nova Scotia	Atlantic	Corporate,
116,72058336	Roy Skaria	British Columbia	West	Corporate,
117,15023876	Dennis Pardue	Saskachewan	Prarie	Small Business,
118,67135124	Pamela Coakley	Ontario	Ontario	Corporate,
119,90365410	Arthur Gainer	Quebec	Quebec	Corporate,
120,100684577	Maria Zettner	Alberta	West	Corporate,
121,20700273	Ionia McGrath	New Brunswick	Atlantic	Small Business,
122,65938413	George Bell	Ontario	Ontario	Corporate,
123,51065809	Larry Tron	Alberta	West	Home Office,
124,90627719	Gary McGarr	Manitoba	Prarie	Home Office,
125,59440797	Nicole Brennan	Yukon	Yukon	Consumer,
126,88815489	Luke Weiss	British Columbia	West	Corporate,
127,79337791	Brad Thomas	Yukon	Yukon	Home Office,
128,73805224	Chloris Kastensmidt	Alberta	West	Consumer,
129,38797703	Rick Wilson	Saskachewan	Prarie	Corporate,
130,32775334	Cari MacIntyre	Ontario	Ontario	Corporate,
131,33888882	Alice McCarthy	Alberta	West	Corporate,
132,65676679	Ben Peterman	Quebec	Quebec	Corporate,
133,75234630	Lisa Hazard	Alberta	West	Home Office,
134,100100202	Brad Norvell	Nova Scotia	Atlantic	Corporate,
135,65181272	Rob Haberlin	British Columbia	West	Corporate,
136,66496454	Paul Knutson	Quebec	Quebec	Corporate,
137,75322156	Anne Pryor	Quebec	Quebec	Consumer,
138,45168399	Matt Collins	British Columbia	West	Consumer,
139,47273840	Ralph Knight	Northwest Territories	Northwest Territories	Consumer,
140,48760545	Cynthia Arntzen	Ontario	Ontario	Small Business,
141,55650115	Jason Fortune	Alberta	West	Corporate,
142,23674656	Alan Schoenberger	Ontario	Ontario	Corporate,
143,76519514	Anemone Ratner	Ontario	Ontario	Small Business,
144,82445538	Darren Budd	Ontario	Ontario	Home Office,
145,95816282	Christopher Schild	Prince Edward Island	Atlantic	Corporate,
146,36773200	Elizabeth Moffitt	Nova Scotia	Atlantic	Consumer,
147,18716501	Aleksandra Gannaway	Yukon	Yukon	Corporate,
148,64043844	Justin Hirsh	Nova Scotia	Atlantic	Consumer,
149,76162149	Sandra Glassco	Ontario	Ontario	Home Office,
150,23988283	Neil French	Saskachewan	Prarie	Consumer,
151,19984778	Georgia Rosenberg	New Brunswick	Atlantic	Consumer,
152,48698759	Allen Golden	Ontario	Ontario	Consumer,
153,50111887	Ruben Dartt	Alberta	West	Corporate,
154,38984610	Ted Butterfield	Quebec	Quebec	Corporate,
155,57347993	Todd Boyes	Ontario	Ontario	Small Business,
156,61555104	Jack O'Briant	Saskachewan	Prarie	Small Business,
157,56512681	Dave Kipp	Yukon	Yukon	Consumer,
158,75226845	Maureen Fritzler	Ontario	Ontario	Corporate,
159,26405324	Dan Campbell	Newfoundland	Atlantic	Corporate,
160,102101268	Valerie Takahito	Manitoba	Prarie	Consumer,
161,74757853	Ken Dana	Alberta	West	Corporate,
162,6794165	Shirley Daniels	Quebec	Quebec	Corporate,
163,12671287	Darren Budd	Ontario	Ontario	Consumer,
164,19360668	Parhena Norris	Manitoba	Prarie	Home Office,
165,31028836	George Ashbrook	Ontario	Ontario	Small Business,
166,75768983	Brian Stugart	Ontario	Ontario	Consumer,
167,51940252	Guy Armstrong	Manitoba	Prarie	Corporate,
168,97257760	Alejandro Ballentine	Alberta	West	Small Business,
169,99434135	Cindy Stewart	Yukon	Yukon	Corporate,
170,15571411	Arianne Irving	Saskachewan	Prarie	Corporate,
